Rhodocybe gemina
Rickenella fibula
Rickenella swartzii
Rimbachia neckerae
Rubroboletus lupinus
Russula amoena
Russula amoenolens
Russula aurea
Russula caerulea
Russula chloroides
Russula cyanoxantha
Russula heterophylla
Russula ionochlora
Russula nigricans
Russula nobilis
Russula ochroleuca
Russula olivacea
Russula parazurea
Russula puellula
Russula risigallina
Russula rosea
Russula sanguinea
Russula sardonia
Russula solaris
Russula torulosa
Russula vesca
Russula violeipes
Russula virescens
Rutstroemia firma
Sarcoscypha coccinea
Sarcosphaera coronaria
Schizophyllum commune
Scleroderma areolatum
Scleroderma citrinum
Scleroderma polyrhizum
Scutellinia scutellata
Scutellinia trechispora
Scutiger pes-caprae
Simocybe centunculus
Sowerbyella imperialis
Sparassis crispa
Sparassis laminosa
Stemonitis fusca
Stephanospora caroticolor
Stereum hirsutum
Stereum insignitum
Strobilomyces strobilaceus
Strobilurus esculentus
Strobilurus esculentus var. griseus
Strobilurus stephanocystis
Strobilurus tenacellus
Stropharia inuncta
Stropharia rugosoannulata
Stropholoma aurantiacum
Suillellus dupainii
Suillellus luridus
Suillellus queletii
Suillellus rhodoxanthus
Suillellus satanas
Suillus bellinii
Suillus bovinus
Suillus collinitus
Suillus granulatus
Suillus grevillei
Suillus luteus
Tarzetta catinus
Tarzetta cupularis
Tectella patellaris
Terfezia claveryi
Terfezia leptoderma
Terfezia magnusii
Tirmania nivea
Tolypocladium capitatum
Tolypocladium ophioglossoides
Trametes gibbosa
Trametes hirsuta
Trametes versicolor
Tremella foliacea
Tremella mesenterica
Tremellodendropsis tuberosa
Trichia decipiens
Trichoderma pulvinatum
Trichoglossum hirsutum
Tricholoma columbetta
Tricholoma equestre
Tricholoma fulvum
Tricholoma portentosum
Tricholoma sciodes
Tricholoma sejunctum
Tricholoma terreum
Tricholoma ustale
Tricholomella constricta
Tricholomopsis decora
Tricholomopsis rutilans
Tricholosporum goniospermum
Tubaria cistophila
Tubaria conspersa
Tubaria furfuracea
